# generated by reference-checks/aces_ocio_encodings_reference.py, OpenColorIO 2.5.2
# ACES-OUTPUT - ACES2065-1_to_CIE-XYZ-D65 - <preset>_2.0 followed by DISPLAY - CIE-XYZ-D65_to_<encoding>
# columns: preset,r_ap0,g_ap0,b_ap0,cv_r,cv_g,cv_b
# presets: rec709_100_srgb = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_sRGB; rec709_100_bt1886 = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.1886-REC.709; rec709_100_g22 = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_G2.2-REC.709; p3d65_100_g26 = SDR-100nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_G2.6-P3-D65; p3d65_1000_pq = HDR-1000nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_ST2084-P3-D65; rec2020_1000_pq = HDR-1000nit-REC2020_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-PQ; p3d65_1000_hlg_rec2100 = HDR-1000nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-HLG-1000nit; rec709d60_100_srgb = SDR-100nit-REC709-D60-in-REC709-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_sRGB; p3d60_1000_pq_rec2100 = HDR-1000nit-P3-D60-in-REC2020-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-PQ
rec709d60_100_srgb,0.01,0.01,0.01,0.009204936,0.008742891,0.008046436
rec709d60_100_srgb,0.5,0.5,0.5,0.56554663,0.5523706,0.53172165
rec709d60_100_srgb,8.0,8.0,8.0,0.9479174,0.92662644,0.8932487
rec709d60_100_srgb,0.05,0.0,0.0,0.13122892,0.0,0.0027431622
rec709d60_100_srgb,0.0,0.05,0.05,0.0,0.11445222,0.10048663
rec709d60_100_srgb,0.5,0.0,0.0,0.7506205,0.0,0.07712939
rec709d60_100_srgb,0.0,0.5,0.5,0.0,0.57156795,0.51979685
rec709d60_100_srgb,1.0,0.0,0.0,0.97946984,0.0,0.10595941
rec709d60_100_srgb,0.0,1.0,1.0,0.0,0.7217657,0.65743667
rec709d60_100_srgb,10.0,0.0,0.0,1.0000067,0.5580184,0.4923507
rec709d60_100_srgb,0.0,10.0,10.0,0.669968,0.97760004,0.9158455
rec709d60_100_srgb,28.41841,24.344778,37.99694,0.98682433,0.96257454,0.9328717
rec709d60_100_srgb,0.6612502,0.682678,0.09478852,0.6904124,0.6433167,0.16728362
rec709d60_100_srgb,59.221184,61.5654,59.030956,0.99571294,0.9736082,0.9385145
rec709d60_100_srgb,0.00017070514,0.001229348,0.0015458196,0.0,5.3337368e-05,5.167219e-05
rec709d60_100_srgb,45.84187,9.971024,82.71785,1.0000067,0.9450967,0.9425037
rec709d60_100_srgb,0.021122947,0.0024990516,0.014078625,0.03505145,0.0,0.012526962
rec709d60_100_srgb,0.002844924,0.00661045,0.0061173006,1.910676e-05,0.0026380445,0.0020429972
rec709d60_100_srgb,0.00051750906,0.0014351306,0.0008430994,4.50614e-07,7.716562e-05,4.0804905e-05
rec709d60_100_srgb,0.022847129,0.20706503,0.14117625,0.0,0.36672503,0.2923165
rec709d60_100_srgb,6.3162236,4.270521,4.5560303,0.95791644,0.88552743,0.8618138
rec709d60_100_srgb,0.16540092,0.2519093,0.06328633,0.27296114,0.43803906,0.11343107
rec709d60_100_srgb,0.12459811,0.20032758,0.0003521437,0.28562647,0.3849776,0.0
rec709d60_100_srgb,0.017277788,0.2918255,0.04677635,0.0,0.44896746,0.23389265
p3d60_1000_pq_rec2100,0.0,0.0,0.0,7.309427e-07,7.309427e-07,7.309427e-07
p3d60_1000_pq_rec2100,0.01,0.01,0.01,0.060681164,0.06000017,0.058087703
p3d60_1000_pq_rec2100,0.5,0.5,0.5,0.44129118,0.43876967,0.43159634
p3d60_1000_pq_rec2100,8.0,8.0,8.0,0.6839182,0.68105227,0.67287105
p3d60_1000_pq_rec2100,0.05,0.0,0.0,0.17042196,0.059395954,0.023981005
p3d60_1000_pq_rec2100,0.0,0.05,0.05,0.10832246,0.17557779,0.16726853
p3d60_1000_pq_rec2100,0.5,0.0,0.0,0.45193356,0.22222067,0.14844412
p3d60_1000_pq_rec2100,0.0,0.5,0.5,0.3108351,0.43253466,0.41910854
p3d60_1000_pq_rec2100,1.0,0.0,0.0,0.5339995,0.2810962,0.19971053
p3d60_1000_pq_rec2100,0.0,1.0,1.0,0.3769377,0.50865746,0.49444452
p3d60_1000_pq_rec2100,10.0,0.0,0.0,0.72390825,0.49242228,0.4100132
p3d60_1000_pq_rec2100,0.0,10.0,10.0,0.5581777,0.70575,0.6904551
p3d60_1000_pq_rec2100,28.41841,24.344778,37.99694,0.72831696,0.7239341,0.7203988
p3d60_1000_pq_rec2100,0.6612502,0.682678,0.09478852,0.48695043,0.47971272,0.28734937
p3d60_1000_pq_rec2100,59.221184,61.5654,59.030956,0.74144036,0.7387768,0.73031384
p3d60_1000_pq_rec2100,0.00017070514,0.001229348,0.0015458196,0.0021434308,0.0046780766,0.0049148174
