# generated by reference-checks/aces_ocio_encodings_reference.py, OpenColorIO 2.5.2
# inverse of aces2_ocio_display_encoding.csv (display code values -> ACES2065-1)
# columns: preset,cv_r,cv_g,cv_b,r_ap0,g_ap0,b_ap0
p3d65_1000_hlg_rec2100,0.8894909,0.85277015,0.85884064,6.3162184,4.2705283,4.5560336
p3d65_1000_hlg_rec2100,0.2794443,0.3724893,0.15301795,0.1654008,0.2519093,0.06328636
p3d65_1000_hlg_rec2100,0.25141528,0.32711896,0.04344132,0.12800579,0.19839038,0.012430018
p3d65_1000_hlg_rec2100,0.17693487,0.37576294,0.19010067,0.09487081,0.26768816,0.072257996
rec709d60_100_srgb,0.0,0.0,0.0,0.0,0.0,0.0
rec709d60_100_srgb,0.009204936,0.008742891,0.008046436,0.010000006,0.010000011,0.010000008
rec709d60_100_srgb,0.56554663,0.5523706,0.53172165,0.5000025,0.4999979,0.4999886
rec709d60_100_srgb,0.9479174,0.92662644,0.8932487,7.9999504,8.000518,8.001117
rec709d60_100_srgb,0.13122892,0.0,0.0027431622,0.04776751,0.0051596295,0.000739404
rec709d60_100_srgb,0.0,0.11445222,0.10048663,0.020348776,0.048104182,0.047046363
rec709d60_100_srgb,0.7506205,0.0,0.07712939,0.483736,0.04834076,0.005547672
rec709d60_100_srgb,0.0,0.57156795,0.51979685,0.19367367,0.49813518,0.48651573
rec709d60_100_srgb,0.97946984,0.0,0.10595941,0.9365567,0.09971809,0.011679212
rec709d60_100_srgb,0.0,0.7217657,0.65743667,0.3766699,0.9869134,0.96327573
rec709d60_100_srgb,1.0000067,0.5580184,0.4923507,1.5415739,0.6099646,0.34726757
rec709d60_100_srgb,0.669968,0.97760004,0.9158455,3.4372745,8.030874,7.985245
rec709d60_100_srgb,0.98682433,0.96257454,0.9328717,28.4109,24.338675,38.00363
rec709d60_100_srgb,0.6904124,0.6433167,0.16728362,0.66124713,0.68267787,0.09478884
