# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_OUTPUT_TRANSFORM_20 (inverse direction)
# columns: peak_nits,limiting_primaries,r_display,g_display,b_display,r_ap0,g_ap0,b_ap0
# inputs are the forward outputs of aces2_ocio_output_transform.csv
100.0,rec709,1.0272576,0.84566563,0.80963206,12.310309,5.347151,2.509441
100.0,rec709,0.14810021,1.0120257,0.817575,1.1832069,7.8481116,5.9048615
100.0,rec709,0.62846917,0.9991984,0.6613777,3.7690873,8.797623,2.135851
100.0,rec709,1.055534,0.15816307,0.6630593,2.0248518,0.48336753,1.9703238
100.0,rec709,1.0915186,0.41450846,0.68301535,4.710747,1.1502267,3.3864985
100.0,rec709,0.97208446,0.968678,0.93958795,24.532867,24.761185,11.826224
100.0,rec709,0.43914494,0.38913703,0.27150056,0.7793692,0.7492182,0.4572255
100.0,rec709,0.20856677,0.17435971,0.014643299,0.27376884,0.27468982,0.059621993
100.0,rec709,0.25776103,0.86284715,0.7581544,1.7278974,3.3542423,3.0698361
100.0,rec709,0.036662534,-0.00084454607,0.02557444,0.14525372,-0.042814694,0.26234457
100.0,rec709,0.1407516,-0.0022197838,0.057200134,0.25027308,-0.034150656,0.16085233
100.0,rec709,0.11456592,0.026443345,0.13476668,0.15937915,0.09650295,0.21861175
100.0,rec709,-0.0022677963,0.088244125,0.06539446,-0.023727756,0.21780784,0.13215719
100.0,rec709,0.18994838,-0.0012589941,0.095012166,0.23191708,0.019229284,0.19946347
100.0,rec709,0.23830423,0.1751923,0.0006272627,0.29208368,0.26828307,0.011918591
100.0,rec709,0.14058939,0.14178865,-0.0053179446,0.19155993,0.19844648,-0.04582103
100.0,rec709,0.04890632,0.13312975,0.15888968,0.18020901,0.22492866,0.26699895
100.0,p3d65,0.0,0.0,0.0,0.0,0.0,0.0
100.0,p3d65,2.0938204e-08,2.0938206e-08,2.0938206e-08,0.00010000015,0.000100000194,0.00010000019
100.0,p3d65,4.129181e-06,4.1291823e-06,4.1291823e-06,0.0010000002,0.0010000017,0.0010000007
100.0,p3d65,0.0007122795,0.0007122796,0.0007122796,0.010000006,0.010000012,0.0100000035
100.0,p3d65,0.016048552,0.016048556,0.016048556,0.050000027,0.05000005,0.05000003
100.0,p3d65,0.099999115,0.099999376,0.09999933,0.17999981,0.18000007,0.17999998
100.0,p3d65,0.27980277,0.2798028,0.27980283,0.49999982,0.5,0.49999985
100.0,p3d65,0.45756534,0.45756578,0.45756575,0.9999988,1.0,0.9999996
100.0,p3d65,0.63988364,0.6398838,0.63988376,1.9999974,1.9999977,1.9999989
100.0,p3d65,0.88557386,0.88557416,0.8855742,7.9999638,8.000008,7.999982
100.0,p3d65,0.97504634,0.97504663,0.9750467,32.00015,31.999985,32.000053
100.0,p3d65,0.9976224,0.9976228,0.9976227,99.97646,100.01375,100.005905
100.0,p3d65,0.011659174,-8.012314e-05,0.0004446628,0.049999986,2.906564e-08,9.58247e-09
100.0,p3d65,0.020697,0.017644059,-0.00016893016,0.049999997,0.050000057,2.3699418e-08
100.0,p3d65,-0.00020191148,0.009467944,0.0017162208,-9.3968123e-07,0.050000828,-3.3761148e-07
100.0,p3d65,-0.00029782578,0.008655497,0.0077965586,-4.5192007e-07,0.05000038,0.05000048
100.0,p3d65,-5.7349228e-09,4.86718e-08,6.776584e-08,-1.3838763e-07,2.3397617e-07,0.049987927
100.0,p3d65,0.010441774,-0.00014642377,0.0066084755,0.050000135,-8.068447e-08,0.05000014
100.0,p3d65,0.445575,-0.003427978,0.016681802,0.50000215,-1.0232994e-06,-2.899722e-07
100.0,p3d65,0.3733942,0.31890166,-0.0024518373,0.50000006,0.5000003,6.9188495e-08
100.0,p3d65,-0.007443577,0.28692907,0.05078458,-2.64241e-06,0.500002,-9.679118e-07
